"FIDs","Radius","YDH","YDMZGUID","l8r","l8r75smax","l8r25min","l8rmax","l8rmaxLST","l8rmaxRN","l8rmaxSVVI","l8rmin","l8rminLST","l8rminRN","l8rminSVVI","l8g","l8g75smax","l8g25min","l8gmax","l8gmaxLST","l8gmaxRN","l8gmaxSVVI","l8gmin","l8gminLST","l8gminRN","l8gminSVVI","l8b","l8b75smax","l8b25min","l8bmax","l8bmaxLST","l8bmaxRN","l8bmaxSVVI","l8bmin","l8bminLST","l8bminRN","l8bminSVVI","l8nir","l8nir75smax","l8nir25min","l8nirmax","l8nirmaxLST","l8nirmaxRN","l8nirmaxSVVI","l8nirmin","l8nirminLST","l8nirminRN","l8nirminSVVI","l8sw1","l8sw175smax","l8sw125min","l8sw1max","l8sw1maxLST","l8sw1maxRN","l8sw1maxSVVI","l8sw1min","l8sw1minLST","l8sw1minRN","l8sw1minSVVI","l8sw2","l8sw275smax","l8sw225min","l8sw2max","l8sw2maxLST","l8sw2maxRN","l8sw2maxSVVI","l8sw2min","l8sw2minLST","l8sw2minRN","l8sw2minSVVI","l8RNav2575","l8RNav75smax","l8RNavsmin25","l8RNmax","l8RNmin","l8SVVIav2575","l8SVVIav75smax","l8SVVIavsmin25","l8SVVImax","l8SVVImin","l8NS1av2575","l8NS1av75smax","l8NS1avsmin25","l8NS1max","l8NS1min","l8NS2av2575","l8NS2av75smax","l8NS2avsmin25","l8NS2max","l8NS2min","l8cnt","l8pw","l8pf","l8ndvi","l8evi","l8evi2","l8rvi","l8tcw","l8tcb","l8tcg","l8tcwgd"
98,15,43312736451610,"e6844a66-9a89-4038-94cd-39aebb7d20cf",1613,1996,1402,2494,1393,2369,2494,1228,1484,1284,1646,2024,2429,1872,2494,1393,2369,2494,1228,1484,1284,1646,850,1323,715,2097,757,1829,2097,641,784,705,643,9834,11534,8697,12362,8993,11363,12362,8143,10590,9530,8143,6787,7811,6475,8377,6382,7840,8377,6382,6976,6577,6534,3204,3509,3035,3613,3115,3475,3613,2995,3090,3129,3348,17165,17572,16631,17624,16541,10194,10406,9972,10549,9753,11765,12034,11399,12123,11097,15160,15490,14566,15534,14173,8,0,1,0.718179435659998,1.56435530522149,1.49950387415914,6.09671419714817,10697.7465,11125.39,5504.4034,5193.3431
99,15,43312706453611,"0871c098-0cf4-4f3f-870c-ca1f37e64c5f",1326,1615,1153,1957,1751,1923,1326,1058,1314,1195,1682,1795,2024,1620,1957,1751,1923,1326,1058,1314,1195,1682,749,1053,634,1422,1080,1364,747,588,692,719,1058,8471,9941,7452,10620,7654,8489,9493,6873,8829,9794,7787,5375,6270,4597,6818,5469,6046,5176,4380,5795,5575,5755,2358,2838,1947,2994,2717,2941,2180,1777,2534,2341,2923,17291,17650,16730,17790,16244,9910,10114,9712,10208,9660,12303,12690,11751,12940,11469,15679,16185,15055,16455,14521,9,0,1,0.729304889251812,1.65232875445169,1.53268293520044,6.38838612368024,8687.9732,9258.4671,4791.394,3896.5792
100,15,43312736441612,"6d1384be-5a0e-45fb-82b2-715e732cc10c",1462,1690,1277,1992,1439,1992,1902,1211,1501,1522,1511,1905,2192,1747,1992,1439,1992,1902,1211,1501,1522,1511,817,1081,656,1464,831,1440,1329,541,803,897,863,9103,11589,7810,12235,8545,9203,11156,7498,10317,12226,8628,6209,7480,5348,8180,5446,6784,6878,5029,6871,8055,6339,2837,3255,2360,3461,2419,3077,2886,2114,3082,3374,3084,17294,17699,16812,17781,16468,10068,10257,9859,10300,9703,11984,12350,11505,12572,11211,15431,15847,14769,16114,14571,9,0,1,0.723237103644108,1.62595224922331,1.51453285551186,6.22640218878249,9791.9306,10240.2726,5112.9066,4679.024
101,15,43312737443613,"c35ec839-5d15-4691-8fdb-99b62d79c77e",1380,1431,1294,1457,1350,1410,1350,1206,1392,1382,1407,1781,1852,1691,1457,1350,1410,1350,1206,1392,1382,1407,755,824,697,901,786,781,786,639,727,781,701,7527,8463,6915,9487,7613,6604,7613,6511,6993,9487,6811,5400,6022,4766,6652,4498,5463,4498,4464,5709,6652,5652,2484,2727,2215,2901,1986,2577,1986,1986,2682,2901,2665,16921,17273,16642,17457,16471,10120,10234,9969,10345,9765,11702,12160,11301,12575,10902,15059,15494,14740,15866,14345,7,0,1,0.69013135735938,1.51471095559608,1.41766605166052,5.45434782608696,8457.6838,8790.8975,4059.4206,4398.2632
102,15,43312737432614,"26bceec4-97f2-4354-a8d8-d6a0de94133c",1374,1634,1140,1935,1790,1935,1430,1018,1483,1463,1849,1928,2053,1695,1935,1790,1935,1430,1018,1483,1463,1849,767,988,636,1313,1123,1313,914,543,772,818,1149,9720,11523,8266,12558,8937,9071,10158,7066,10500,12558,9325,6553,7312,5372,8109,6481,6712,5988,4327,6796,8073,6880,2888,3170,2289,3284,3042,3162,2478,1797,2992,3268,3215,17613,17801,17136,17912,16482,9998,10133,9856,10202,9743,12156,12436,11825,12701,11491,15714,16029,15206,16227,14825,7,0,1,0.752298539751217,1.70849539406346,1.60270689628685,7.07423580786026,10238.1885,10718.7689,5635.992,4602.1965
103,15,43312737452615,"0d037827-c07b-42e9-922a-81896d52104c",1407,1690,1207,1866,1866,1757,1129,1035,1378,1413,1757,1844,2027,1714,1866,1866,1757,1129,1035,1378,1413,1757,784,1029,638,1187,1187,1083,713,573,610,798,1083,9062,10800,7857,11969,8402,7778,7698,7070,9888,11969,7778,6330,7026,5222,8042,6528,6191,4438,4438,6469,8042,6191,2800,3106,2180,3285,3122,2955,1717,1717,2754,3285,2955,17407,17748,16613,17872,16304,10063,10204,9816,10256,9703,12028,12516,11440,12753,11130,15596,16129,14826,16452,14487,8,0,1,0.731206418951189,1.64623655913978,1.5384089776363,6.44065387348969,9812.0553,10218.8768,5154.1842,4657.8711
104,15,43312737442616,"617c6ea3-33b5-480d-9fd1-ba3f13cc2a26",1271,1666,1117,2343,1085,2343,962,961,1286,1186,1163,1715,2057,1614,2343,1085,2343,962,961,1286,1186,1163,732,1239,623,2097,573,2097,795,566,741,569,647,9084,10405,6813,11289,6707,11289,5141,5111,8613,9189,7269,6024,7171,4563,8097,5151,8097,2579,2579,6094,5729,5853,2644,3086,1899,3394,2235,3394,835,835,2747,2363,2623,17376,17636,16774,17712,16555,10044,10234,9770,10333,9524,11881,12572,11461,13336,11056,15494,16229,15033,17214,14649,7,0,1,0.754514727184935,1.74070938419036,1.60954727491471,7.147128245476,9452.7052,9930.3873,5292.6455,4160.0597
105,15,43312737453617,"f12d5b83-788b-4900-b456-cddffca7a7e9",1806,2100,1336,2186,1067,2066,1103,1067,2144,1292,1953,2065,2205,1740,2186,1067,2066,1103,1067,2144,1292,1953,969,1122,758,1210,686,1119,698,660,1187,679,1076,9059,10309,7039,10882,6046,8528,6409,6046,9460,8076,9220,6530,7632,4392,7890,2918,6935,3083,2918,7534,4174,7116,3069,3573,2019,3740,1251,3304,1322,1251,3487,1927,3496,16764,17021,16388,17179,16107,10121,10328,9789,10365,9561,11712,12844,11184,13688,11006,15000,15932,14543,16682,14385,5,0,1,0.667556373676944,1.43583956922833,1.35373738278684,5.01605758582503,10278.6122,10675.7524,4796.9934,5481.6188
106,15,43312736453618,"67274ac2-3bf4-4cb7-b501-40f4141e3a2c",1470,1566,1347,1636,1500,1492,1456,1260,1502,1402,1460,1976,2133,1796,1636,1500,1492,1456,1260,1502,1402,1460,861,994,815,1052,947,894,842,787,835,834,860,10187,11217,8523,11420,9233,8019,11117,8014,10886,11069,8139,6156,6782,5600,6997,5699,5820,6073,5336,6434,6773,5898,2630,2808,2385,2897,2437,2599,2495,2267,2720,2810,2625,17497,17682,17140,17751,16863,9839,9989,9705,10124,9606,12372,12674,11971,12934,11587,15886,16140,15505,16334,15104,8,0,1,0.747791026850819,1.73638500458149,1.58883785360163,6.92993197278912,10052.0781,10817.1682,5896.6873,4155.3908
107,15,43312736442619,"eca000c6-d2a1-414e-801c-81e975dafa3d",1691,1848,1496,1913,1792,1863,1534,1300,1828,1300,1784,2174,2281,1986,1913,1792,1863,1534,1300,1828,1300,1784,938,1052,866,1162,1058,1114,912,805,1004,815,1066,10242,10811,9554,11265,10072,9834,10198,8994,10997,9492,9913,6922,7549,6415,7914,7301,7347,6475,6166,7446,6166,7381,3144,3442,2860,3630,3367,3418,2830,2608,3265,2608,3445,17189,17445,16935,17597,16779,10087,10190,10008,10286,9928,11936,12123,11666,12255,11397,15338,15568,15024,15730,14810,8,0,1,0.716584262130227,1.60083121162199,1.49478372746724,6.05677114133649,10973.7417,11516.2328,5718.0696,5255.6721
