"FIDs","p2hh","p2hv","p2hhrhv","p2hvrhh","p2npdi"
350,-11.0482899649559,-16.2548092049945,5.20651924003859,-5.20651924003859,-0.190693342452818
351,-3.90550418041875,-11.4214882108246,7.51598403040589,-7.51598403040589,-0.490375661352838
352,-9.13689734923328,-14.5170738848969,5.38017653566361,-5.38017653566361,-0.227453415006296
353,-10.1665525355063,-12.3245588323056,2.15800629679937,-2.15800629679937,-0.0959492957688074
354,-8.58028511692521,-16.9058820357447,8.32559691881949,-8.32559691881949,-0.326671204381052
355,-5.83527329140975,-14.5285296053453,8.69325631393554,-8.69325631393554,-0.426897488549195
356,-8.77904792265932,-11.6688933823389,2.88984545967959,-2.88984545967959,-0.141326963755183
357,-5.91023549911139,-20.7949416529319,14.8847061538205,-14.8847061538205,-0.557371556424281
358,-12.0543538407339,-11.4754772510079,-0.578876589726036,0.578876589726036,0.0246018166245657
359,-5.86542219234235,-10.7506807209372,4.8852585285948,-4.8852585285948,-0.294007479015463
360,-9.53036605853305,-15.3201042111653,5.7897381526323,-5.7897381526323,-0.232983041761268
361,-12.1434914608164,-15.9216753815927,3.77818392077633,-3.77818392077633,-0.13462182291634
362,-7.52427110037613,-16.7395377935352,9.21526669315912,-9.21526669315912,-0.379794727754864
363,-7.12139986454631,-15.8871389955826,8.76573913103631,-8.76573913103631,-0.38097765287592
364,-7.34768135936794,-19.9054358511969,12.5577544918289,-12.5577544918289,-0.460782316929267
365,-8.87418085482473,-14.6955233953589,5.82134254053416,-5.82134254053416,-0.246984114808688
366,-6.73104911470358,-11.1965433680737,4.46549425337014,-4.46549425337014,-0.249084993295115
367,-7.04219033883302,-15.9795429483175,8.93735260948451,-8.93735260948451,-0.388213715188545
368,-4.46800692185946,-17.5864232771059,13.1184163552464,-13.1184163552464,-0.594820008356501
369,-8.62996622265452,-14.0058048885726,5.3758386659181,-5.3758386659181,-0.23749306526835
370,-9.5895168443584,-10.1744848553617,0.58496801100334,-0.58496801100334,-0.0295976503084203
371,-5.35406398124697,-16.6805930908616,11.3265291096147,-11.3265291096147,-0.51403246588084
372,-7.91609223620324,-15.4958755780134,7.57978334181016,-7.57978334181016,-0.323756781230812
373,-7.44204323966522,-12.4088265395767,4.96678329991151,-4.96678329991151,-0.250204819997624
374,-8.73354990025945,-13.8939645668585,5.16041466659902,-5.16041466659902,-0.228059280399449
375,-5.90598648770785,-9.35348762664385,3.447501138936,-3.447501138936,-0.225925291599243
376,-14.5777974041313,-19.4781748188864,4.90037741475506,-4.90037741475506,-0.143891866679495
377,-9.33365476156234,-13.5624360138542,4.22878125229185,-4.22878125229185,-0.184694465695964
378,-8.26251276703155,-15.3596591485026,7.09714638147108,-7.09714638147108,-0.300444277810201
379,-4.09949597515075,-13.3425283278249,9.24303235267418,-9.24303235267418,-0.529928877068316
380,-9.99870877644636,-14.9187277023222,4.92001892587579,-4.92001892587579,-0.197452853148357
381,-6.07078349741334,-10.8508995357066,4.78011603829329,-4.78011603829329,-0.282484669458552
382,-5.22518078634215,-14.0568393731556,8.83165858681346,-8.83165858681346,-0.458025586207223
383,-9.54142619114555,-14.927296204189,5.38587001304349,-5.38587001304349,-0.220112432763159
384,-6.44098943394739,-12.3194778788773,5.87848844492991,-5.87848844492991,-0.313344457092034
385,-4.21310997411496,-10.5153897228909,6.30227974877596,-6.30227974877596,-0.427896926260394
386,-5.97605647651679,-11.4226334266794,5.44657695016264,-5.44657695016264,-0.313045233892126
387,-7.06990096893408,-9.20849568480124,2.13859471586716,-2.13859471586716,-0.131376250459926
388,-8.63328842182986,-11.3837805467811,2.75049212495122,-2.75049212495122,-0.137407336172159
389,-4.34849553003419,-11.8522623588099,7.50376682877567,-7.50376682877567,-0.463173814475853
390,-3.70538157892742,-6.77520454493421,3.0698229660068,-3.0698229660068,-0.292905657157627
391,-4.28079062021668,-8.47034606430341,4.18955544408674,-4.18955544408674,-0.32856329186502
392,-5.23191664525908,-4.56627049032795,-0.665646154931125,0.665646154931125,0.0679356441880454
393,-4.01610451524036,-11.8896470161447,7.87354250090431,-7.87354250090431,-0.495012290703041
394,-5.41922989525526,-12.886149851756,7.46691995650075,-7.46691995650075,-0.407908497922305
395,-6.53834406934394,-9.41144206775762,2.87309799841368,-2.87309799841368,-0.180133951246558
396,-9.09036647019605,-10.7953164933122,1.70495002311617,-1.70495002311617,-0.0857375643695458
397,-7.95749385404204,-15.4757629943465,7.5182691403045,-7.5182691403045,-0.320837568117276
398,-5.85335007137463,-11.6101809130243,5.7568308416497,-5.7568308416497,-0.329648731793849
399,-0.776430595646019,-8.19195661967431,7.4155260240283,-7.4155260240283,-0.82685167867871
400,-6.04854681715776,-10.6915209422811,4.64297412512337,-4.64297412512337,-0.277356949317331
401,-6.6012286128921,-12.502993934556,5.90176532166393,-5.90176532166393,-0.308924653018778
402,-3.54761321880753,-9.19253386167883,5.6449206428713,-5.6449206428713,-0.443081277414562
403,-4.52424316537882,-9.06850416407053,4.54426099869171,-4.54426099869171,-0.334315123245641
404,-7.25716911599258,-10.4118080179456,3.15463890195304,-3.15463890195304,-0.178541116332856
405,-6.38437848787278,-9.8818716363957,3.49749314852292,-3.49749314852292,-0.215015330626499
406,-0.956816335126291,-9.83690905865579,8.8800927235295,-8.8800927235295,-0.822708786777644
407,-9.79787556553512,-14.0661506725694,4.26827510703433,-4.26827510703433,-0.17885812999229
408,-6.06398291441043,-13.8909206244274,7.82693771001701,-7.82693771001701,-0.392231297674959
409,-1.33030593956657,-9.67244878133017,8.3421428417636,-8.3421428417636,-0.758186749898184
410,-7.21685016177121,-7.24654070625013,0.0296905444789246,-0.0296905444789246,-0.00205280661705483
411,-2.43711864492937,-7.44204323966522,5.00492459473585,-5.00492459473585,-0.506614291090872
412,-4.93277327489363,-10.5061093745584,5.57333609966474,-5.57333609966474,-0.360993488078787
413,-4.57407569346339,-8.01532546036371,3.44124976690033,-3.44124976690033,-0.273344992732574
414,-5.24990451529244,-8.2117179460261,2.96181343073366,-2.96181343073366,-0.220019053367773
415,-5.26849360491666,-13.8863567099842,8.61786310506754,-8.61786310506754,-0.449905009091278
416,-5.05735913235812,-7.96056850527346,2.90320937291534,-2.90320937291534,-0.223016247572531
417,-4.00098377135264,-10.2702420729327,6.26925830158005,-6.26925830158005,-0.439293608690978
418,-9.4423883697682,-13.6596836312313,4.21729526146309,-4.21729526146309,-0.182550520199255
419,-5.56737390924893,-10.1161535805728,4.54877967132389,-4.54877967132389,-0.290035495794931
420,-6.51618118694833,-12.0518908066502,5.53570961970188,-5.53570961970188,-0.29813055559082
421,-1.86723805240695,-9.16422951194603,7.29699145953909,-7.29699145953909,-0.661470599172003
422,-4.9850128387784,-9.81879855518123,4.83378571640283,-4.83378571640283,-0.326523054621943
423,-5.81483165065386,-6.86419456831867,1.04936291766481,-1.04936291766481,-0.0827636838619809
424,-2.03116392899192,-12.0642129673748,10.0330490383829,-10.0330490383829,-0.711797145415037
425,-5.28486237861465,-9.82260815596075,4.5377457773461,-4.5377457773461,-0.300364363905982
426,-6.33578239434783,-12.332185839649,5.99640344530114,-5.99640344530114,-0.321213501659003
427,-13.3140032130643,-21.5183062194351,8.20430300637084,-8.20430300637084,-0.235537153293546
428,-5.5901661642707,-10.1378584501177,4.54769228584698,-4.54769228584698,-0.289145801672172
429,-12.2084423330938,-17.7747426241501,5.56630029105631,-5.56630029105631,-0.185647398666748
430,-10.0856612126079,-14.6372900314954,4.55162881888742,-4.55162881888742,-0.184105399632378
431,-4.58814275830383,-13.4923881371328,8.90424537882895,-8.90424537882895,-0.492476987004641
432,-3.01216876561818,-10.38737511959,7.37520635397182,-7.37520635397182,-0.550407268870796
433,-9.30488755782751,-13.454680091503,4.14979253367544,-4.14979253367544,-0.182331782291019
434,-8.83838379063538,-10.1487312579122,1.31034746727687,-1.31034746727687,-0.0690124573389101
435,-5.2364101216335,-8.47197675794155,3.23556663630805,-3.23556663630805,-0.236028255164648
436,-3.47896427076671,-10.9360295864781,7.45706531571135,-7.45706531571135,-0.517313110887212
437,-3.94899412203597,-9.75996241220166,5.81096829016569,-5.81096829016569,-0.423881152125109
438,-2.1107727837867,-10.5515745204866,8.4408017366999,-8.4408017366999,-0.666606398787632
439,-7.43263313288253,-11.8426407686396,4.41000763575703,-4.41000763575703,-0.228790919303553
440,-1.15611758605368,-10.9827192738032,9.82660168774953,-9.82660168774953,-0.809517567555923
441,-7.80362245250348,-14.1128574868794,6.30923503437597,-6.30923503437597,-0.287876294543019
442,-5.12698366028073,-8.71508177964212,3.58809811936139,-3.58809811936139,-0.259216959704056
443,-6.42744644702587,-9.76658527919281,3.33913883216694,-3.33913883216694,-0.206195645940397
444,-6.14282475109412,-11.0132573401502,4.87043258905609,-4.87043258905609,-0.283889559583172
445,-7.45291373831583,-12.7810610265405,5.32814728822471,-5.32814728822471,-0.263326773416708
446,-14.9410234131119,-19.6300503295393,4.68902691642744,-4.68902691642744,-0.135634402082295
447,-8.97900738541721,-12.9269096151408,3.94790222972361,-3.94790222972361,-0.180220815664692
448,-6.21798434585693,-16.5929193436466,10.3749349977896,-10.3749349977896,-0.45482349752604
449,-5.57262835449353,-8.42886648067048,2.85623812617695,-2.85623812617695,-0.203995227638385
