"FIDs","AveDBH","AveHt.1","BasalArWtHt.1","Density","AveBasalAr","AveHt.2","BasalArWtHt.2","AveAGB"
236,20.5,16.5,21.1,580.03,0.04,16.48,21.13,507.85
239,23,16.9,21.3,608.33,0.05,16.94,21.31,634
240,25.2,16.7,21.7,424.41,0.06,16.72,21.66,711.52
248,26.3,17.7,20,523.44,0.06,17.7,20.01,633.8
232,14.3,8.7,9.6,367.82,0.02,8.67,9.58,106.64
233,14.3,7.2,7.7,325.38,0.02,7.17,7.68,74.44
223,3.8,2.9,3,1061.03,0,2.91,2.97,10.72
235,12.3,7,7.9,353.68,0.01,6.98,7.93,108.36
241,10.3,7.1,8,1145.92,0.01,7.11,7.98,171
221,3.8,3,3.1,2504.04,0,3.05,3.08,25.89
222,4,3,3,1725.95,0,3,3.05,19.73
242,12,6.3,8,1188.36,0.01,6.33,8.04,286.78
243,9.3,6.1,7.5,693.21,0.01,6.14,7.53,79.01
245,15.6,12,14.7,792.24,0.02,12.01,14.75,391.76
288,14,9.2,12,254.65,0.02,9.18,12,67.54
276,8.5,6.4,6.6,990.3,0.01,6.39,6.63,109.59
280,16.5,8.2,9.4,297.09,0.03,8.18,9.42,116.39
285,13,7.1,10.3,254.65,0.02,7.12,10.31,66.23
282,16.3,10.7,13.3,622.47,0.03,10.73,13.27,332.98
274,8,6.2,6.6,763.94,0.01,6.19,6.56,141.76
277,7.6,5.1,5.7,806.39,0.01,5.11,5.74,78.63
273,7.8,5.3,5.4,594.18,0.01,5.3,5.4,166.55
275,9.1,4.8,4.8,848.83,0.01,4.83,4.79,79.17
247,14,9.9,11.6,622.47,0.02,9.93,11.64,427
209,10.6,7.1,9.1,919.56,0.01,7.11,9.11,203.75
286,16.2,8.8,13.3,268.8,0.03,8.78,13.33,928.55
225,15.7,11.5,16.7,495.15,0.03,11.51,16.68,258.78
291,10.3,8.1,10.6,594.18,0.01,8.05,10.56,111.19
292,11.6,9.8,12.8,862.97,0.01,9.83,12.8,271.28
293,9.9,10.2,12.2,1244.95,0.01,10.19,12.21,257.38
332,10,8.1,10.2,1725.95,0.01,8.12,10.25,333.01
424,12,10.5,14.1,1202.5,0.01,10.55,14.07,383.73
333,10.6,10.3,13.6,1061.03,0.01,10.31,13.64,311.75
334,9.8,9.3,10.4,2405.01,0.01,9.27,10.44,442.7
302,11.9,8,9.1,565.88,0.01,7.95,9.15,76.18
427,10.2,8.3,9.8,1259.09,0.01,8.29,9.84,142.47
342,8.1,5.1,6.3,466.85,0.01,5.14,6.27,23.16
290,10.9,8.2,9.7,1103.47,0.01,8.17,9.75,126.83
417,10.1,7.7,10.7,1980.59,0.01,7.73,10.72,233.68
289,11.9,10.5,15.7,1230.8,0.02,10.5,15.7,364.17
337,13.4,11.1,12.8,1089.33,0.02,11.07,12.81,252.18
303,11.5,7,8.4,749.8,0.01,6.97,8.44,117.32
300,13.6,9.8,11,664.91,0.02,9.84,10.97,159.54
436,12.3,8.4,9.7,1301.53,0.01,8.4,9.68,239.07
338,15.2,11.5,12.6,693.21,0.02,11.48,12.58,248.96
421,17.3,13.5,17.1,1075.18,0.03,13.53,17.11,612.63
422,14.1,11.8,15,976.15,0.02,11.84,15.04,380.08
423,15.7,11.1,14.1,919.56,0.03,11.14,14.08,407.22
335,15.2,16.8,17,1259.09,0.02,16.76,17.02,447.45
294,16.2,15.3,17.3,1018.59,0.02,15.31,17.28,478.1
295,16.2,11.7,13.1,1046.89,0.02,11.71,13.1,390.54
425,15.2,12.3,13.5,1117.62,0.02,12.3,13.51,399.81
432,14.5,10.6,16.8,820.53,0.02,10.59,16.77,411.93
305,9.5,6.4,6.8,495.15,0.01,6.41,6.82,47.21
434,11.9,10.5,12,1075.18,0.01,10.53,11.96,262.13
297,12.6,8.5,10.9,1061.03,0.02,8.53,10.94,303.38
419,11.1,9.7,12.5,1641.06,0.01,9.68,12.5,410.54
418,11.9,11.3,13.5,1428.86,0.01,11.27,13.51,411.75
433,11.3,10,12.1,2150.36,0.01,10,12.07,507.22
426,12.7,10.6,14.2,1004.44,0.02,10.57,14.15,366.29
428,14.7,12.3,14.9,947.86,0.02,12.29,14.88,477.43
429,12.4,9.3,12.1,1372.27,0.01,9.34,12.09,367.68
431,17.2,12.5,17.1,650.77,0.03,12.51,17.08,521.98
430,48.1,30.3,32.1,254.65,0.19,30.27,32.14,4550.94
299,15,10.1,10.9,1018.59,0.02,10.13,10.93,278.3
437,12.5,9.8,11.5,1471.3,0.01,9.78,11.53,312.19
346,17.3,12.5,16.2,594.18,0.03,12.5,16.22,307.9
298,13.2,9.7,11.4,721.5,0.02,9.74,11.4,192.52
435,12.8,10.2,15.9,1103.47,0.02,10.19,15.92,382.08
340,15.3,12.9,15.5,947.86,0.02,12.86,15.48,283.08
341,14.3,9.9,11.7,834.68,0.02,9.89,11.68,209.81
301,23.2,13.4,23,438.56,0.07,13.38,23,1095.58
296,8,6.8,8,721.5,0.01,6.81,8.04,75.23
420,12.5,10.6,13.8,1230.8,0.01,10.56,13.78,436.15
345,17.9,12,18.2,240.5,0.03,11.95,18.18,239.89
347,17.8,13.2,15.2,212.21,0.03,13.19,15.23,146.44
349,29.1,17.4,19.6,141.47,0.07,17.41,19.58,105.53
343,21.8,14.5,20.8,551.74,0.05,14.54,20.81,876.09
336,29.9,17.7,20.5,325.38,0.08,17.66,20.5,751.78
339,24.3,15.5,17.5,580.03,0.05,15.46,17.42,868.48
344,24.3,15,19.2,297.09,0.05,14.95,19.16,502.53
348,20.2,14,17.5,339.53,0.04,14.03,17.49,146.28
456,13.6,10.4,14.7,481,0.02,10.45,14.69,682.56
450,23.6,13.6,15.3,608.33,0.05,13.57,15.27,548.03
449,17.4,13.9,22.4,509.3,0.04,13.88,22.38,2035.24
447,18.3,15.9,21.6,862.97,0.04,15.9,21.6,843.7
388,11.8,8.9,9.8,1259.09,0.01,8.89,9.83,160.01
389,11.4,8.5,9.1,1273.24,0.01,8.52,9.07,142.46
387,15.1,10.5,11.3,636.62,0.02,10.5,11.32,140.77
311,13.5,10.5,11.7,1075.18,0.02,10.52,11.71,221.84
309,10.5,6.1,7.3,495.15,0.01,6.12,7.27,58.65
314,8.7,5,5.5,396.12,0.01,5.05,5.47,24.14
315,8,4.6,4.8,438.56,0.01,4.64,4.81,20.78
317,8.9,5.6,5.9,565.88,0.01,5.62,5.94,39.93
325,8.3,6.2,6.8,650.77,0.01,6.15,6.79,43.65
326,8.9,6,6.9,933.71,0.01,5.98,6.85,71.44
408,9.2,6.4,6.9,1386.42,0.01,6.45,6.85,99.63
409,8.6,6.3,6.6,1386.42,0.01,6.33,6.57,82.6
415,7.2,6,7.2,2192.8,0,6,7.25,103.07
438,13.1,7.6,8.1,466.85,0.01,7.63,8.13,84.03
439,9.8,6.8,7.2,707.36,0.01,6.75,7.23,74.13
440,10.6,7.2,7.7,749.8,0.01,7.19,7.75,87.33
320,10.9,8.3,8.6,693.21,0.01,8.32,8.59,88.39
323,17.3,13.3,14.1,282.94,0.02,13.32,14.11,115.56
321,20.3,13.4,15.3,155.62,0.04,13.39,15.31,97.79
391,16.4,13.3,15.6,551.74,0.03,13.28,15.56,253.57
360,5.8,5.5,5.6,396.12,0,5.52,5.58,13.48
359,12.4,9.1,9.5,806.39,0.01,9.11,9.49,135.56
358,18.6,18.1,21.1,481,0.03,18.11,21.09,320.7
312,6.6,5.1,5.4,198.06,0,5.09,5.39,8.35
313,7.5,5.7,6.1,381.97,0.01,5.71,6.13,24.46
331,7.3,6.4,7,2192.8,0,6.42,7,132.08
378,7.5,6.2,6.4,367.82,0,6.25,6.42,21.03
448,7.2,6.9,7.4,2914.3,0,6.86,7.42,156.59
445,7.1,6.5,7,2928.45,0,6.46,6.98,130.46
330,8.5,8,8.7,792.24,0.01,8,8.67,74.11
444,9.7,7.6,8.3,1117.62,0.01,7.63,8.32,121.83
371,8.7,7.3,9.1,594.18,0.01,7.26,9.07,66.8
403,8,8.5,9.7,2574.77,0.01,8.53,9.69,241.32
357,10.6,7.9,9.1,1259.09,0.01,7.92,9.07,192.19
395,13.1,11.6,14.2,1188.36,0.02,11.57,14.18,771.85
400,10.9,9.4,11.5,1061.03,0.01,9.38,11.51,209.28
402,10.6,10.9,12.6,1853.27,0.01,10.91,12.63,386.62
446,8.4,6,6.2,452.71,0.01,6,6.17,28.3
328,11.8,7,7.1,381.97,0.01,6.96,7.14,59.36
329,11.3,7.7,9.1,580.03,0.01,7.69,9.07,104.84
398,10,7.8,8.9,438.56,0.01,7.79,8.93,65.11
374,11.4,7.5,8.5,396.12,0.01,7.49,8.5,56.26
375,13.5,8.5,9.1,325.38,0.02,8.48,9.07,78.47
369,7.6,6.9,7.3,933.71,0,6.86,7.32,65.97
370,7.3,6,6.2,933.71,0,6,6.15,52.97
377,11,7.6,7.9,339.53,0.01,7.56,7.89,50.13
373,10.9,8,10,466.85,0.01,7.98,9.99,72.29
376,15.9,11,11.6,226.35,0.02,10.97,11.59,90.26
397,11.4,10.3,12,1584.48,0.01,10.28,12.04,479.21
316,7.5,5.5,5.9,311.24,0,5.5,5.86,16.34
327,9.4,6.2,7.2,481,0.01,6.18,7.21,44.69
318,7.8,5.9,6.5,707.36,0.01,5.89,6.51,43.31
310,11.4,7.9,8.8,282.94,0.01,7.95,8.81,38.84
443,9.2,7.6,8.8,1032.74,0.01,7.65,8.78,108.45
401,10.2,8.6,9.7,1471.3,0.01,8.64,9.71,208.83
372,14.2,8.1,9,226.35,0.02,8.13,9.01,57.18
407,9.7,8.2,9.3,1598.62,0.01,8.21,9.3,178.57
411,10.9,8.6,9.3,1584.48,0.01,8.63,9.33,200.49
405,9.6,8.8,10,1584.48,0.01,8.75,10.04,223.56
410,9.8,7.5,8,2405.01,0.01,7.51,7.97,188.64
412,10.7,9.2,10.1,2235.24,0.01,9.21,10.06,283.74
382,18.5,11.1,11.7,240.5,0.03,11.09,11.72,92.17
383,13.5,9.7,11,693.21,0.02,9.66,10.95,151.87
384,13.6,11,11.8,650.77,0.02,10.97,11.83,146.22
386,13.4,11.3,12.1,792.24,0.02,11.35,12.11,167.8
385,13.8,11.5,12.8,1358.12,0.02,11.45,12.83,341.13
390,13.2,10.6,12.1,1499.59,0.02,10.63,12.09,315.18
392,13,10.9,12.1,1839.12,0.01,10.85,12.15,375.02
413,15.7,13.3,15.9,622.47,0.02,13.29,15.93,187.34
414,15.1,13.3,15.6,707.36,0.02,13.27,15.64,212.65
393,13.6,11.2,16.4,1471.3,0.02,11.24,16.4,525.3
404,13.7,12.5,15,1287.39,0.02,12.45,15.04,785.18
416,13.9,11.4,14.8,1428.86,0.02,11.41,14.78,333.96
379,9.9,7.5,8,650.77,0.01,7.52,8.01,77.89
394,11.3,7.9,8.5,693.21,0.01,7.92,8.47,85.54
380,7.9,7.8,8.8,1372.27,0.01,7.77,8.8,96.68
396,10.3,8.6,10.1,2405.01,0.01,8.62,10.14,336
399,11.7,9.6,10.8,1400.56,0.01,9.58,10.79,260.34
441,17.1,10.7,15.4,481,0.03,10.73,15.43,289.65
442,11,8.5,10.7,1216.65,0.01,8.52,10.74,174.16
381,13.3,11.5,12,778.09,0.01,11.46,12.02,181.01
322,16.6,14.2,15.4,622.47,0.02,14.18,15.43,274.21
324,14.3,10.9,12.7,141.47,0.02,10.9,12.7,36.62
406,13.2,8.6,10.7,947.86,0.02,8.58,10.7,957.56
367,9.4,6.9,7.9,848.83,0.01,6.92,7.86,95.57
364,10.1,7.6,8.6,693.21,0.01,7.56,8.56,171.63
366,14.8,12.9,16.2,594.18,0.02,12.93,16.18,436.3
368,15.7,10.7,14.3,311.24,0.02,10.69,14.33,188.86
319,11.4,9.5,10.2,976.15,0.01,9.53,10.21,121.89
365,14.4,9,10.4,396.12,0.02,9.03,10.36,79.29
361,8.8,7.2,7.8,381.97,0.01,7.19,7.83,31.44
454,7.7,7.3,7.7,1867.42,0,7.29,7.66,135.03
27,30,14.3,18.2,339.53,0.09,14.34,18.17,827.15
33,29.2,21.7,23.3,113.18,0.07,21.68,23.29,306.92
28,19.4,14.8,22,834.68,0.04,14.84,22.04,1275.86
30,15.9,12.2,14.2,297.09,0.02,12.21,14.16,124.97
31,13.2,10.2,13.7,466.85,0.02,10.22,13.68,146.01
32,15.3,14.5,14.9,877.12,0.02,14.5,14.95,299.32
29,11.2,8.3,10.8,806.39,0.01,8.27,10.77,168.19
452,7.4,5.8,6.1,636.62,0,5.75,6.12,29.56
453,6.2,5.2,5.5,381.97,0,5.21,5.47,12.77
455,7.8,6.8,7.1,919.56,0.01,6.77,7.15,57.29
26,7.3,6.7,7.1,1301.53,0,6.68,7.13,71.08
451,8.6,6.2,6.6,778.09,0.01,6.24,6.61,55.14
362,10.8,9.8,11.2,495.15,0.01,9.77,11.24,95.87
25,6.4,6.4,6.8,778.09,0,6.36,6.78,42.59
363,13.6,11.2,12.5,452.71,0.02,11.21,12.48,263.5
307,12.4,7.8,10.3,424.41,0.02,7.79,10.34,77.97
304,9.3,6.8,7.6,792.24,0.01,6.83,7.58,53.89
356,26.5,22.5,23.4,410.27,0.06,22.54,23.35,544.79
350,10,7,7.5,240.5,0.01,7.05,7.54,25.85
355,8.6,8.1,9.2,311.24,0.01,8.14,9.15,32.01
308,24.3,14.5,15.1,240.5,0.05,14.51,15.09,286.54
354,23.6,14.5,14.7,169.77,0.05,14.48,14.71,186.39
351,25.3,13.2,14.3,127.32,0.05,13.2,14.35,142.8
352,12,8.5,11.8,396.12,0.01,8.47,11.76,110.47
353,22.6,16.5,20.3,297.09,0.05,16.46,20.25,291.22
306,28.1,14.5,18.6,127.32,0.08,14.5,18.56,248.95
144,19,14,16.7,113.18,0.03,14,16.67,98.43
488,14.6,10.3,11.1,1598.62,0.02,10.32,11.11,619.69
460,17.5,12.1,15.7,820.53,0.03,12.11,15.69,632.54
507,12.3,9.5,9.9,962,0.01,9.46,9.94,130.01
508,11.3,9.1,10.1,1046.89,0.01,9.13,10.12,124.78
520,11.7,10,11.8,1754.24,0.01,10.02,11.83,265.19
58,12.6,10.4,11.9,481,0.01,10.41,11.93,95.13
517,11.9,10.7,11.3,990.3,0.01,10.65,11.27,117.77
195,13.6,12.2,15.1,1499.59,0.02,12.21,15.07,386.39
151,19.4,16.9,20.3,367.82,0.03,16.9,20.31,193.4
119,22.5,16.7,22.1,240.5,0.05,16.66,22.11,186.18
127,22.1,16.3,17,339.53,0.04,16.31,17.02,218.42
75,22.7,16.3,18.7,452.71,0.05,16.29,18.67,334.6
77,22.1,17.8,19.9,721.5,0.04,17.76,19.93,466.83
142,24.6,20.1,21.8,396.12,0.05,20.06,21.76,333.05
125,21.8,16.7,17.8,481,0.04,16.69,17.79,273.22
71,22.9,19,20.8,976.15,0.05,19.02,20.79,839.96
143,21.4,20.1,22,1075.18,0.04,20.06,21.98,704.04
149,24.3,19.8,20.7,707.36,0.05,19.78,20.67,545.34
123,17.3,14.6,16.7,834.68,0.03,14.58,16.7,358.53
79,20.7,18,20.3,565.88,0.04,18.04,20.29,367.79
80,19,18.6,23.5,481,0.03,18.59,23.46,330.08
114,24.1,21.5,22.8,523.44,0.05,21.5,22.82,442.28
120,20.6,19.6,24.5,551.74,0.04,19.61,24.47,390.84
78,22.7,19.7,24.1,707.36,0.05,19.71,24.08,543.23
99,30.1,25.3,26.1,608.33,0.07,25.34,26.07,785.82
109,47.9,35.4,36.3,198.06,0.19,35.36,36.27,654.73
117,21.6,19.8,22.1,466.85,0.04,19.83,22.1,334.26
183,11.7,7.3,8.7,523.44,0.01,7.32,8.69,95.46
172,15.7,10.6,11.9,650.77,0.02,10.6,11.93,233.94
173,12,9.6,12.5,820.53,0.01,9.56,12.49,184.81
181,16,11,13.4,862.97,0.02,11.02,13.42,337.8
200,12.6,10.1,11,622.47,0.01,10.08,11,126.27
171,22.6,15.3,18.3,297.09,0.05,15.34,18.34,273.17
489,13.5,12.9,13.4,1768.39,0.02,12.87,13.4,414.55
140,34.6,23.8,24.3,141.47,0.1,23.79,24.34,322.52
197,23,15.7,19.8,565.88,0.05,15.72,19.81,590.91
110,20.9,15.6,20.4,282.94,0.04,15.61,20.39,256.2
196,23.3,18.9,19.6,622.47,0.05,18.86,19.59,565.62
154,22.5,16,18.7,551.74,0.05,16,18.75,526.52
156,22.2,16,18.8,297.09,0.04,16.04,18.82,260.65
182,16,15,16.4,580.03,0.02,14.97,16.38,217.92
187,21.1,14,17.6,820.53,0.04,13.97,17.57,641.76
139,29.3,21.8,25,198.06,0.07,21.77,25.03,364.4
157,35.4,26.8,28.5,198.06,0.1,26.82,28.46,506.56
155,30.9,24.2,27.1,325.38,0.08,24.2,27.09,659.89
161,25.1,17.1,25.8,198.06,0.07,17.11,25.82,318.37
76,24.6,18.2,21.2,297.09,0.05,18.23,21.22,350.59
165,41.4,23.4,23.8,183.91,0.14,23.37,23.82,609.57
112,30.2,20.7,22.9,339.53,0.08,20.71,22.91,649.95
516,21.7,19.8,22.2,806.39,0.04,19.8,22.15,690.04
189,40.9,21.8,24.4,155.62,0.16,21.84,24.37,524.78
467,24,15.3,23.3,254.65,0.06,15.26,23.27,356.69
146,6.2,6.6,6.6,268.8,0,6.56,6.63,4.15
170,7.5,6.3,6.5,438.56,0,6.32,6.54,15.08
475,8.4,7.8,9.1,693.21,0.01,7.81,9.12,33.37
458,10.7,6.2,7.9,198.06,0.01,6.25,7.85,16.96
459,7.2,5.4,6,325.38,0,5.39,5.96,15.43
137,14.8,9.8,11.2,198.06,0.02,9.79,11.16,40.84
135,13.4,9.6,10.6,240.5,0.02,9.64,10.58,35.48
178,44.5,21.2,25.1,155.62,0.17,21.21,25.11,823.77
179,31,20.3,20.5,113.18,0.08,20.3,20.54,190.58
148,67.3,38.4,39.1,56.59,0.36,38.43,39.06,1088.48
150,61.4,38.1,39,56.59,0.31,38.1,39.02,932.26
65,41.2,23.8,24.1,99.03,0.14,23.84,24.09,383.38
129,42.9,27.6,28.6,169.77,0.15,27.6,28.6,881.36
130,36.7,26.3,26.9,339.53,0.11,26.3,26.93,1208.01
121,33.6,27.4,31.5,155.62,0.1,27.37,31.53,618.45
521,9,7.9,9.5,2249.39,0.01,7.91,9.52,267.65
512,14.2,13.2,14,1061.03,0.02,13.2,13.98,411.45
513,15,14.1,15.3,1160.06,0.02,14.15,15.34,561.31
21,12.9,10.9,13.5,976.15,0.02,10.85,13.5,321.72
515,15.2,12.6,14.6,947.86,0.02,12.6,14.57,465.49
15,24.9,17.6,19.6,367.82,0.05,17.6,19.65,610.42
17,19.1,17.1,18.8,763.94,0.03,17.08,18.79,669.76
23,23.7,14.4,17.2,381.97,0.05,14.37,17.23,544.47
514,16.5,15.5,18.2,749.8,0.02,15.47,18.18,537.66
18,28.4,19.9,22,254.65,0.07,19.92,21.97,615.7
24,26.7,19.7,21.5,410.27,0.06,19.75,21.53,849.92
19,25.1,20,20.8,452.71,0.05,19.96,20.78,757.72
20,20.7,16.3,19.8,466.85,0.04,16.3,19.82,540.62
16,26,20.4,21.8,481,0.06,20.39,21.83,928.79
501,16.4,9.1,9.6,381.97,0.02,9.15,9.58,114.15
505,15.5,9.9,11.4,481,0.02,9.9,11.45,165.96
56,10.2,9,9.9,1400.56,0.01,9.02,9.86,199.88
506,13.5,9.5,10.5,1004.44,0.02,9.48,10.53,227.03
496,14.3,9.1,10.2,1089.33,0.02,9.11,10.18,271.72
503,14.9,10.3,10.6,1202.5,0.02,10.32,10.63,279.01
504,15.2,10.3,11,947.86,0.02,10.29,10.98,265.97
499,13.6,10,10.2,608.33,0.02,9.96,10.22,111.22
57,14.6,10.9,12,396.12,0.02,10.86,11.96,106.41
490,16.3,11,12.9,580.03,0.02,11.05,12.86,229.63
494,13.7,9.6,11.9,1145.92,0.02,9.62,11.89,295.94
495,14.5,10.4,11.2,962,0.02,10.39,11.24,253.93
498,15.8,11.4,11.9,1145.92,0.02,11.41,11.94,322.08
500,14.1,10.4,10.7,1131.77,0.02,10.41,10.67,204.95
522,12.8,11.2,11.7,1117.62,0.01,11.17,11.66,174.32
523,14,12.4,13.1,1188.36,0.02,12.43,13.07,309.61
502,17.5,13.6,14.3,820.53,0.03,13.61,14.3,319.93
493,18.9,13.1,14.8,537.59,0.03,13.11,14.81,295.58
492,14.9,12.1,14.1,891.27,0.02,12.08,14.06,307.09
497,14.3,12.2,13.7,820.53,0.02,12.18,13.69,253.76
511,15.8,13.2,14.4,1287.39,0.02,13.17,14.43,499.77
491,16.4,12.1,13.8,1145.92,0.02,12.1,13.8,463.01
510,16.2,13.7,14.7,1244.95,0.02,13.69,14.72,501.8
167,9.1,6.4,16.8,495.15,0.01,6.44,16.82,117.99
168,8.3,5.8,9.7,424.41,0.01,5.76,9.69,41.77
169,11.6,9.1,16.7,537.59,0.02,9.08,16.73,217.22
81,24.7,12.8,15.1,183.91,0.06,12.84,15.11,256.84
82,29.8,15.7,16.9,226.35,0.08,15.66,16.92,502.22
87,22.3,11.8,12.5,198.06,0.04,11.79,12.51,179.24
83,30.9,13.3,13.9,198.06,0.08,13.29,13.91,370.63
166,25.4,15.4,18.4,339.53,0.06,15.45,18.44,557.2
153,16.8,15,18.2,353.68,0.03,14.97,18.2,260.22
122,23.5,13.2,15.6,141.47,0.05,13.15,15.55,191.7
176,30.7,14.6,16.8,212.21,0.08,14.61,16.79,470.58
177,31.1,14.5,16.4,212.21,0.08,14.52,16.37,438.82
188,22.6,13.9,16.5,297.09,0.05,14.57,16.53,357.21
72,30.3,19.8,20.9,438.56,0.08,19.81,20.86,746.34
74,30.9,19.3,20.4,183.91,0.08,19.34,20.36,399.5
88,32.2,15.2,18.2,127.32,0.11,15.19,18.18,357.75
85,33,17,18.2,183.91,0.1,16.96,18.17,366.23
86,25.9,14.4,18.4,297.09,0.06,14.45,18.37,457.56
89,25.3,13.6,15.9,198.06,0.06,13.57,15.9,228.9
141,26.2,18.6,22.1,325.38,0.06,18.59,22.09,554.34
63,20.5,16.8,19.1,1018.59,0.04,16.83,19.07,836.97
64,21,16,19.8,792.24,0.04,15.98,19.78,837.81
92,20.6,17.9,23.7,679.06,0.04,17.88,23.66,950.82
61,36.8,20.9,22.7,113.18,0.11,20.88,22.7,432.02
84,22.2,14.6,19.6,70.74,0.05,14.58,19.59,110.29
469,21.4,14.7,19.5,523.44,0.05,14.75,19.51,604.95
470,22.1,14,20,410.27,0.05,13.99,19.98,527.65
66,26.7,19.2,21.8,410.27,0.07,19.18,21.82,809.46
67,35.3,20.8,22.6,212.21,0.11,20.82,22.6,835.33
68,28.6,18.7,23.1,311.24,0.08,18.7,23.14,843.73
93,20,15.1,19.7,877.12,0.04,15.06,19.71,1557.8
465,10.6,6.8,8.7,396.12,0.01,6.77,8.73,44.48
457,10.1,6.4,7,481,0.01,6.44,6.95,59.98
509,13.5,9.7,10.6,537.59,0.02,9.71,10.56,106.04
519,14.3,9.6,10.4,679.06,0.02,9.65,10.44,151.21
160,14.4,12,14.6,1075.18,0.02,11.95,14.65,300.3
159,22.6,16.1,21.3,594.18,0.05,16.12,21.29,589.76
113,23.3,18.4,21.1,297.09,0.05,18.35,21.05,293.63
518,14.7,14.1,16.3,1188.36,0.02,14.06,16.31,400.07
201,24,16.1,20.2,551.74,0.06,16.15,20.22,626.88
115,23.4,19.8,23.4,452.71,0.05,19.78,23.39,430.23
164,32.1,19.2,23.1,212.21,0.1,19.21,23.08,448.75
22,26.1,19.2,21.9,297.09,0.06,19.19,21.9,492.95
468,19.1,14.2,19.9,537.59,0.04,14.21,19.9,399.22
474,19,11.4,17.7,523.44,0.04,11.39,17.65,401.37
145,36.8,26.3,28.3,226.35,0.11,26.28,28.31,570.9
472,10.9,6.8,8.5,438.56,0.01,6.77,8.53,53.47
464,7.3,6.5,7,749.8,0,6.52,7.02,40.69
180,11.8,8.2,13.2,353.68,0.02,8.24,13.24,85.26
185,11.3,8.3,9.8,622.47,0.01,8.29,9.77,97.64
199,9.6,8.1,9.2,933.71,0.01,8.11,9.25,115.91
174,10.7,9,10.6,933.71,0.01,8.96,10.65,149.72
124,20.8,14.3,15.4,297.09,0.04,14.27,15.4,177.44
