"FIDs","s1vv","s1vh","s1vvstd","s1vhstd","s1vvmd","s1vhmd","s1vvrvh","s1vvrvhmd","s1vhrvv","s1vhrvvmd","s1npdi","s1npdimd"
294,-6.82927838116461,-11.4120319621764,0.0326175379868,0.0094077356088,-6.98016394667471,-11.4158734604133,4.58275358101179,4.43570951373861,-4.58275358101179,-4.43570951373861,-0.251229407030221,-0.24112309708772
295,-6.04716681503863,-11.4983364394511,0.0348402427487,0.0115340730558,-6.1867168208884,-11.4296372738909,5.45116962441249,5.24292045300252,-5.45116962441249,-5.24292045300252,-0.310687561670115,-0.297616659201706
296,-6.79454377758118,-12.774152417435,0.0434389346309,0.00860313032275,-6.70031660493689,-12.775370876452,5.97960863985387,6.07505427151509,-5.97960863985387,-6.07505427151509,-0.305570109539375,-0.311930157912036
297,-8.73323330362798,-14.1254910296038,0.0192379130272,0.00443095605535,-8.770925703311,-14.0634961756451,5.39225772597579,5.29257047233413,-5.39225772597579,-5.29257047233413,-0.235894954038909,-0.231780357759427
298,-7.13348047558186,-12.3310126958642,0.0213793327678,0.00677560543256,-7.15603260209054,-12.415367373912,5.19753222028229,5.25933477182151,-5.19753222028229,-5.25933477182151,-0.267026332229753,-0.268725526956182
299,-9.36772497744431,-14.6949606291573,0.0194306513678,0.00421110618333,-9.35266972268163,-14.7103204402813,5.32723565171295,5.35765071759969,-5.32723565171295,-5.35765071759969,-0.221389903804064,-0.222651078744404
300,-8.80672695543231,-14.7339848820901,0.025794497863,0.00404782531568,-8.76368814368409,-14.6826709441348,5.9272579266578,5.91898280045074,-5.9272579266578,-5.91898280045074,-0.251787540137598,-0.252447843960806
301,-6.61404763655348,-12.6389361754347,0.0213535535178,0.00716779198796,-6.56291532909001,-12.6886577973028,6.02488853888127,6.12574246821277,-6.02488853888127,-6.12574246821277,-0.312932717220162,-0.318194384843009
302,-5.85512420925323,-11.6978644356014,0.0380544841827,0.0102790701217,-5.83325493583432,-11.6178262289668,5.84274022634813,5.78457129313246,-5.84274022634813,-5.78457129313246,-0.332862986729091,-0.331473519520382
303,-5.17852489605787,-10.361256365978,0.0404637479202,0.0498925477492,-5.14536354733285,-10.7209721475512,5.18273146992014,5.57560860021833,-5.18273146992014,-5.57560860021833,-0.333513798072673,-0.351411233660973
304,-7.86256476000311,-13.4121328610866,0.0296381648196,0.00557514310934,-7.75030363518284,-13.4397357358815,5.54956810108352,5.68943210069868,-5.54956810108352,-5.68943210069868,-0.260852971916376,-0.268495588944859
