"FIDs","BAN_JING","YDH","YDMZGUID","17_sl_HH_F02DAR","p2hv"
378,15,"43312412412418","a08b3050-3bdd-4412-bbc9-280c7e3763c5",5471,2338
379,15,"43312436421308","ac507f96-9a71-42a7-800c-52fb2f85f335",8478,3609
380,15,"43312436422309","dfd50fd5-3e9b-4f26-a1a7-c8c5fcae8502",4235,2313
381,15,"43312436432310","30fd6469-1ba4-4a0d-bda7-02507700ccaa",6530,3741
382,15,"43312435431311","068ec12d-45a5-4232-bdff-19994d170076",7508,2913
383,15,"43312435431312","49b721e8-9024-43dd-afa2-1fd319973eb8",5332,2923
384,15,"43312435431313","450bda70-d02c-462d-99bb-57923f091640",6423,3566
385,15,"43312435433314","09c5ccf2-15a0-46a3-bc1b-f3b69416f63c",8907,4190
386,15,"43312435432315","0b2ae167-8162-4391-8cb9-5ce49f910288",6808,3467
387,15,"43312406431316","a86fcc22-6b37-4954-8e8c-1782fe1a4b49",6609,4383
388,15,"43312406422317","265a7f1c-4fe0-4a67-a790-e0296bd17cee",5485,3703
389,15,"43312406422318","48a55af8-a1b0-48ff-ac48-68d0881088ac",8220,3653
390,15,"43312435433319","05ecb20d-48e8-4c12-8e6e-fa33dd961432",9490,5996
391,15,"43312407431320","061acc97-e4d4-4fa5-808e-e51125ae65a7",8616,5362
392,15,"43312435433321","dde5c420-557b-4f33-a27f-060d5d3b8b83",8568,7722
393,15,"43312435442322","7e894dfe-04df-4cba-a7da-c61fa85041c0",9145,4065
394,15,"43312436421323","546e7df5-8d28-4d48-a288-fda3a200bb8f",7729,3519
395,15,"43312412431324","722ee1ee-d664-4c96-baaa-0b31adbb9f55",6490,3761
396,15,"43312436423326","681c91df-1689-4fd9-82c3-d0bed75f2859",5378,3717
397,15,"43312431433327","832b31d3-6fb1-4131-8b25-72735166f1d9",5373,2377
398,15,"43312431421328","6e97f02a-ef44-4e1e-8df5-d7f7702a5714",7054,3771
399,15,"43312436423329","3005cf36-3eb6-41c2-ad2d-7724ab702e64",12781,5471
400,15,"43312412431330","048cb247-9b81-4156-9ecf-dfc82194d8d5",6772,3793
401,15,"43312435421331","03dea219-2e9c-4149-922f-d984bf52fcfe",7061,3373
402,15,"43312412433332","21bf70da-c8ae-4584-b4ee-2722c2bc7f64",8102,4615
403,15,"43312412423333","f4c73b3d-3044-41b9-a968-3d0624b876ce",8458,5081
404,17,"43312435442334","16cd9eea-c898-454a-b79d-37b0f43479a5",6236,4101
405,15,"43312435423335","dddd4258-4215-4eb2-9d17-d7b3d6d2bb0c",6768,4039
406,16,"43312437422336","8b79b62d-b8fe-4896-82bc-57c33576fa87",9188,4258
